Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,Source_material_ID,SRA Study
SRR9106059,AMPLICON,601,112490323,PRJNA544067,SAMN11808462,"MIMS.me,MIGS/MIMS/MIMARKS.soil",73352405,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880802,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.SMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.SMC,GMT.SMC,SRP199138
SRR9106060,AMPLICON,601,110897213,PRJNA544067,SAMN11808463,"MIMS.me,MIGS/MIMS/MIMARKS.soil",72795755,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880801,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.RMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.RMC,GMT.RMC,SRP199138
SRR9106061,AMPLICON,588,117655089,PRJNA544067,SAMN11808464,"MIMS.me,MIGS/MIMS/MIMARKS.soil",66799462,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Subsurface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880800,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.CLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.CLC.SUB,CIMA.CLC.SUB,SRP199138
SRR9106062,AMPLICON,500,16060981,PRJNA544067,SAMN11808476,"MIMS.me,MIGS/MIMS/MIMARKS.soil",10200394,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880799,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.LAC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:49:00Z,1,Sterile metal spatula,KELSO.LAC.SUB,KELSO.LAC.SUB,SRP199138
SRR9106063,AMPLICON,583,111037174,PRJNA544067,SAMN11808475,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63469864,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880798,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.GLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.GLC.SUB,KELSO.GLC.SUB,SRP199138
SRR9106064,AMPLICON,601,128537597,PRJNA544067,SAMN11808443,"MIMS.me,MIGS/MIMS/MIMARKS.soil",80323119,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880797,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch7SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch7SF,NPMarch7SF,SRP199138
SRR9106065,AMPLICON,601,52566410,PRJNA544067,SAMN11808444,"MIMS.me,MIGS/MIMS/MIMARKS.soil",34509560,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880796,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch7Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:49:00Z,1,Sterile metal spatula,NPMarch7Sub,NPMarch7Sub,SRP199138
SRR9106066,AMPLICON,601,93241859,PRJNA544067,SAMN11808441,"MIMS.me,MIGS/MIMS/MIMARKS.soil",59642873,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880795,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch6SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch6SF,NPMarch6SF,SRP199138
SRR9106067,AMPLICON,601,91389820,PRJNA544067,SAMN11808442,"MIMS.me,MIGS/MIMS/MIMARKS.soil",59649107,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880794,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch6Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch6Sub,NPMarch6Sub,SRP199138
SRR9106068,AMPLICON,601,115710124,PRJNA544067,SAMN11808447,"MIMS.me,MIGS/MIMS/MIMARKS.soil",74259201,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880793,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch9SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch9SF,NPMarch9SF,SRP199138
SRR9106069,AMPLICON,601,85569009,PRJNA544067,SAMN11808448,"MIMS.me,MIGS/MIMS/MIMARKS.soil",56228275,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880792,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch9Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch9Sub,NPMarch9Sub,SRP199138
SRR9106070,AMPLICON,601,125565828,PRJNA544067,SAMN11808445,"MIMS.me,MIGS/MIMS/MIMARKS.soil",81362283,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880791,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch8SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch8SF,NPMarch8SF,SRP199138
SRR9106071,AMPLICON,601,86320570,PRJNA544067,SAMN11808446,"MIMS.me,MIGS/MIMS/MIMARKS.soil",56822071,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880790,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch8Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch8Sub,NPMarch8Sub,SRP199138
SRR9106072,AMPLICON,601,143800213,PRJNA544067,SAMN11808449,"MIMS.me,MIGS/MIMS/MIMARKS.soil",94393096,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Surface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880789,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.LAC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.LAC,CIMA.LAC,SRP199138
SRR9106073,AMPLICON,601,132925076,PRJNA544067,SAMN11808450,"MIMS.me,MIGS/MIMS/MIMARKS.soil",85145235,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Surface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880788,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.CLC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.CLC,CIMA.CLC,SRP199138
SRR9106074,AMPLICON,581,129632642,PRJNA544067,SAMN11808469,"MIMS.me,MIGS/MIMS/MIMARKS.soil",74572577,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Subsurface,805 m,Mojave Desert,Mojave Desert,Desert,SRX5880787,USA,North America,USA: KELSO DUNES,Illumina MiSeq,34.89 N 115.69 W,GMT.CLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.CLC.SUB,GMT.CLC.SUB,SRP199138
SRR9106075,AMPLICON,601,121775970,PRJNA544067,SAMN11808460,"MIMS.me,MIGS/MIMS/MIMARKS.soil",80311153,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880786,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.CLC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.CLC,GMT.CLC,SRP199138
SRR9106076,AMPLICON,601,122514506,PRJNA544067,SAMN11808459,"MIMS.me,MIGS/MIMS/MIMARKS.soil",79763644,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880785,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.LAC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.LAC,GMT.LAC,SRP199138
SRR9106077,AMPLICON,582,119103707,PRJNA544067,SAMN11808465,"MIMS.me,MIGS/MIMS/MIMARKS.soil",68400631,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Subsurface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880784,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.GLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.GLC.SUB,CIMA.GLC.SUB,SRP199138
SRR9106078,AMPLICON,601,70397258,PRJNA544067,SAMN11808454,"MIMS.me,MIGS/MIMS/MIMARKS.soil",45985499,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Surface,805 m,Mojave Desert,Mojave Desert,Desert,SRX5880783,USA,North America,USA: KELSO DUNES,Illumina MiSeq,34.89 N 115.69 W,KELSO.LAC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.LAC,KELSO.LAC,SRP199138
SRR9106079,AMPLICON,601,79981522,PRJNA544067,SAMN11808453,"MIMS.me,MIGS/MIMS/MIMARKS.soil",52169706,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Surface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880782,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.RMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.RMC,CIMA.RMC,SRP199138
SRR9106080,AMPLICON,601,107587822,PRJNA544067,SAMN11808452,"MIMS.me,MIGS/MIMS/MIMARKS.soil",69673800,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Surface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880781,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.SMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.SMC,CIMA.SMC,SRP199138
SRR9106081,AMPLICON,600,105971789,PRJNA544067,SAMN11808451,"MIMS.me,MIGS/MIMS/MIMARKS.soil",69879498,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Surface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880780,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.GLC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.GLC,CIMA.GLC,SRP199138
